--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger : Sun Nov 20 22:18:07 2022 
--------------------------------------------------------------------------------
{'name': 'Code.exe', 'pid': 11508, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 67.90234375}
{'name': 'mcshield.exe', 'pid': 11540, 'username': None, 'vms': 395.015625}
{'name': 'audiodg.exe', 'pid': 11720, 'username': None, 'vms': 242.9921875}
{'name': 'Dell.D3.WinSvc.exe', 'pid': 11848, 'username': None, 'vms': 128.30078125}
{'name': 'SystemSettings.exe', 'pid': 11876, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 61.37109375}
{'name': 'svchost.exe', 'pid': 12136, 'username': None, 'vms': 6.765625}
{'name': 'chrome.exe', 'pid': 12228, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 36.59375}
{'name': 'chrome.exe', 'pid': 12308, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 57.6171875}
{'name': 'SearchIndexer.exe', 'pid': 12708, 'username': None, 'vms': 30.80078125}
{'name': 'uihost.exe', 'pid': 12864, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 13.94921875}
{'name': 'Code.exe', 'pid': 12904, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 102.2265625}
{'name': 'ServiceShell.exe', 'pid': 13012, 'username': None, 'vms': 71.37890625}
{'name': 'cmd.exe', 'pid': 13048, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 2.1015625}
{'name': 'msedgewebview2.exe', 'pid': 13084, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 61.6796875}
{'name': 'MoUsoCoreWorker.exe', 'pid': 13120, 'username': None, 'vms': 15.64453125}
{'name': 'chrome.exe', 'pid': 13128, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 71.671875}
{'name': 'svchost.exe', 'pid': 13152, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 3.75}
{'name': 'svchost.exe', 'pid': 13256, 'username': None, 'vms': 3.453125}
{'name': 'chrome.exe', 'pid': 13336, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 17.20703125}
{'name': 'RtkAudUService64.exe', 'pid': 13564, 'username': None, 'vms': 1.8671875}
{'name': 'dllhost.exe', 'pid': 14016, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 2.70703125}
{'name': 'servicehost.exe', 'pid': 14080, 'username': None, 'vms': 22.52734375}
{'name': 'MfeAVSvc.exe', 'pid': 14184, 'username': None, 'vms': 70.5078125}
{'name': 'msedgewebview2.exe', 'pid': 14404, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 11.24609375}
{'name': 'svchost.exe', 'pid': 14412, 'username': None, 'vms': 2.875}
{'name': 'chrome.exe', 'pid': 14472, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 50.66015625}
{'name': 'svchost.exe', 'pid': 14568, 'username': None, 'vms': 19.9140625}
{'name': 'msedgewebview2.exe', 'pid': 14600, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 107.453125}
{'name': 'msedgewebview2.exe', 'pid': 14684, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 10.609375}
{'name': 'NVDisplay.Container.exe', 'pid': 14760, 'username': None, 'vms': 35.828125}
{'name': 'Code.exe', 'pid': 14804, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 156.98046875}
{'name': 'svchost.exe', 'pid': 14956, 'username': None, 'vms': 1.23046875}
{'name': 'svchost.exe', 'pid': 14988, 'username': None, 'vms': 1.73046875}
{'name': 'Dell.TechHub.Diagnostics.SubAgent.exe', 'pid': 15052, 'username': None, 'vms': 90.09375}
{'name': 'Code.exe', 'pid': 15092, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 12.15625}
{'name': 'conhost.exe', 'pid': 15116, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 5.71484375}
{'name': 'TextInputHost.exe', 'pid': 15188, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 81.9140625}
{'name': 'chrome.exe', 'pid': 15344, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 66.91796875}
{'name': 'svchost.exe', 'pid': 15352, 'username': None, 'vms': 1.6796875}
{'name': 'ModuleCoreService.exe', 'pid': 15376, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 10.7734375}
{'name': 'FusionService.exe', 'pid': 15400, 'username': None, 'vms': 40.953125}
{'name': 'conhost.exe', 'pid': 15504, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 5.32421875}
