--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger : Sun Nov 20 22:14:56 2022 
--------------------------------------------------------------------------------
{'name': 'Dell.TechHub.Instrumentation.UserSessionAgent.exe', 'username': None, 'pid': 17640, 'vms': 38.9453125}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 17988, 'vms': 1.27734375}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 18072, 'vms': 38.82421875}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 18144, 'vms': 24.859375}
{'name': 'Dell.TechHub.DataManager.SubAgent.exe', 'username': None, 'pid': 18228, 'vms': 65.80078125}
{'name': 'explorer.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 18484, 'vms': 240.57421875}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 18684, 'vms': 7.36328125}
{'name': 'svchost.exe', 'username': None, 'pid': 18716, 'vms': 2.765625}
{'name': 'OneDrive.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 18744, 'vms': 18.07421875}
{'name': 'svchost.exe', 'username': None, 'pid': 18768, 'vms': 1.66015625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 18900, 'vms': 5.34375}
{'name': 'svchost.exe', 'username': None, 'pid': 19084, 'vms': 5.67578125}
{'name': 'winlogon.exe', 'username': None, 'pid': 19704, 'vms': 2.56640625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 19752, 'vms': 10.9765625}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 19792, 'vms': 5.32421875}
{'name': 'svchost.exe', 'username': None, 'pid': 19896, 'vms': 2.15625}
{'name': 'svchost.exe', 'username': None, 'pid': 19908, 'vms': 2.49609375}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20032, 'vms': 58.15234375}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20112, 'vms': 8.0859375}
{'name': 'DellMobileConnect.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20128, 'vms': 29.17578125}
{'name': 'svchost.exe', 'username': None, 'pid': 20220, 'vms': 6.50390625}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20256, 'vms': 119.31640625}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20424, 'vms': 2.05859375}
{'name': 'svchost.exe', 'username': None, 'pid': 20460, 'vms': 1.5}
{'name': 'python3.10.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20616, 'vms': 11.375}
{'name': 'dptf_helper.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20708, 'vms': 1.453125}
{'name': 'LockApp.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20780, 'vms': 23.375}
{'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20840, 'vms': 51.8671875}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21048, 'vms': 449.5078125}
{'name': 'taskhostw.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21092, 'vms': 6.50390625}
{'name': 'browserhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21180, 'vms': 5.2109375}
{'name': 'svchost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21228, 'vms': 9.2734375}
{'name': 'Video.UI.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21432, 'vms': 26.67578125}
{'name': 'svchost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21668, 'vms': 2.16796875}
